Activity Name,Stage,Duration,Purpose,Best Used When,Inputs Required,Outputs Produced,Activity Outcomes,Techniques Used,Preparation Needed,Step-by-Step Flow,Timing Breakdown,Facilitator Notes,If Running Long,Good Output Looks Like,FigJam Board Requirements,Layout Type,Remote Friendly,Complexity,Energy Level,Recommended Participants,Activity family
G.R.O.W,Goals,60 mins,"Help individuals or teams define goals, understand reality, explore options and agree actions.","The team needs clarity on direction, objectives or next steps.","Business goal, Team context","Action plan, Shared goal",,,,,,"Keep the conversation grounded in reality.

Avoid jumping straight to solutions.

Spend sufficient time exploring the current situation before discussing options.

Ensure the session ends with clear commitments and actions.",,,,,Yes,,,,
Sailboat,Goals,60 mins,"Explore goals, risks, blockers and opportunities using a visual metaphor.",The team needs alignment around goals and obstacles.,"Business goal, Team context","Alignment, Risks, Shared goal",,,,,,"Use the visual metaphor to encourage participation.

Ensure both positive and negative factors are explored.

Focus on practical actions that can be taken after the workshop.",,,,,Yes,,,,
Newspaper Headline,Goals,60 mins,Define future success by imagining a positive headline about the outcome.,The team needs a shared vision of success.,Business goal,"Alignment, Shared goal",,,,,,"Encourage ambitious thinking.

Avoid discussing constraints too early.

Use the headlines to create a shared picture of success.",,,,,Yes,,,,
Sticky Steps,Goals,30 mins,Break a goal into small achievable steps.,The team knows the goal but needs a practical path forward.,Business goal,Action plan,,,,,,"Encourage participants to think in small achievable steps.

Challenge large vague actions.

Focus on creating momentum and clarity.",,,,,Yes,,,,
Empathy Map,Understand,60 mins,"Explore what users think, feel, see and do.",The team needs deeper understanding of users.,"Existing research, User feedback",Insights,,,,,,"Encourage participants to use evidence rather than assumptions.

Keep the discussion focused on the user rather than business needs.

Challenge unsupported statements.",,,,,Yes,,,,
Assumption Collecting,Understand,60 mins,Identify assumptions influencing decisions.,The team suspects decisions are being driven by opinion rather than evidence.,Team context,"Insights, Risks",,,,,,"Create a safe environment for participants to challenge existing thinking.

Distinguish assumptions from facts.

Prioritise assumptions that carry the greatest risk.",,,,,Yes,,,,
Service Map,Understand,90 mins,"Visualise people, systems and processes involved in delivering a service.",The team needs to understand operational complexity.,"Existing research, Stakeholders","Alignment, Insights",,,,,,"Keep participants focused on the whole service rather than isolated touchpoints.

Look for bottlenecks, handoffs and operational complexity.

Encourage contributions from multiple disciplines.",,,,,Yes,,,,
Roles & Responsibilities,Understand,60 mins,Clarify ownership and responsibilities across teams.,Ownership or accountability is unclear.,"Stakeholders, Team context","Alignment, Decision",,,,,,"Keep the discussion objective and focused on clarity.

Avoid turning the session into a performance review.

Focus on improving collaboration and accountability.",,,,,Yes,,,,
Prototype Persona,Understand,60 mins,Create provisional user personas from existing knowledge.,Research is limited but the team needs a shared understanding of users.,"Existing research, User feedback",Insights,,,,,,"Make it clear that the persona is a working hypothesis.

Avoid creating overly detailed fictional profiles.

Focus on creating shared understanding rather than perfection.",,,,,Yes,,,,
Mind Map,Ideas,30 mins,Generate ideas through associative thinking.,The team needs a broad range of possibilities.,Problem statement,Ideas,,,,,,"Encourage quantity over quality initially.

Avoid judging ideas during generation.

Look for clusters and connections that may not be obvious.

Use the final discussion to identify promising areas for further exploration.",,,,,Yes,,,,
Storyboard,Ideas,90 mins,"Visualise future experiences, concepts or service journeys.",The team wants to explore and communicate end-to-end solution ideas.,"Ideas, Problem statement, User feedback",Ideas,,,,,,"Keep participants focused on the experience rather than detailed UI solutions.

Encourage discussion around assumptions and risks.

Use the storyboard as a conversation tool rather than an artefact to perfect.",,,,,Yes,,,,
Round Robin,Ideas,30 mins,Generate ideas collaboratively while ensuring equal participation.,You want contributions from every participant and need to avoid dominant voices.,"Problem statement, Team context",Ideas,,,,,,"Ensure equal participation.

Prevent dominant voices from taking over.

Keep the pace moving.

Focus on idea generation rather than evaluation.",,,,,Yes,,,,
Reverse Brainstorm,Ideas,60 mins,Generate solutions by exploring how to make the problem worse first.,"The team feels stuck, is suffering from groupthink, or keeps generating similar ideas.","Problem statement, Team context",Ideas,,,,,,"This works best when teams are stuck or repeating the same ideas.

Encourage humour and exaggeration.

The value comes from reversing the negative ideas.",,,,,Yes,,,,
Premortem,Evaluate,60 mins,Identify potential risks before implementation begins.,The team wants to reduce risk and improve decision quality.,"Ideas, Opportunities, Stakeholders","Decision, Risks",,,,,,"Create psychological safety.

Encourage participants to surface uncomfortable truths.

Avoid turning the session into a solution workshop too early.",,,,,Yes,,,,
SWOT Analysis,Evaluate,90 mins,"Assess strengths, weaknesses, opportunities and threats.","The team needs structured evaluation of a challenge, opportunity or strategy.","Ideas, Problem statement, Stakeholders","Decision, Insights",,,,,,"Keep discussions balanced across all four areas.

Avoid spending too much time debating individual items.

Focus on identifying patterns and strategic implications.",,,,,Yes,,,,
"Rose, Thorn, Bud",Evaluate,30 mins,"Identify positives, challenges and opportunities within a situation.","The team wants a balanced evaluation of a project, feature, process or experience.","Existing research, Ideas, User feedback","Ideas, Insights",,,,,,"Encourage balanced thinking.

Prevent the conversation from becoming overly negative.

Use the opportunity section to identify future actions.",,,,,Yes,,,,
"Heart, Head, Hand",Evaluate,30 mins,"Evaluate ideas from emotional, logical and practical perspectives.",The team wants balanced decision making and needs to consider multiple viewpoints.,"Ideas, Opportunities","Decision, Insights",,,,,,"Encourage participants to contribute to all three areas.

Watch for teams focusing too heavily on logic and ignoring emotional or practical factors.

Use the discussion to reveal hidden trade-offs.",,,,,Yes,,,,
Start Stop Continue,Decide,60 mins,"Create alignment by identifying behaviours, activities or processes the team should start, stop or continue.","The team needs alignment, reflection or agreement on future ways of working.","Stakeholders, Team context","Action plan, Alignment",,,,,,"Keep the discussion constructive.

Avoid personal criticism.

Focus on behaviours, processes and ways of working rather than individuals.

Push for actionable outcomes.",,,,,Yes,,,,
Fishbowl,Discuss,60 mins,Enable structured discussion around difficult topics while ensuring all perspectives are heard.,The group has differing viewpoints or sensitive topics need discussion.,"Problem statement, Stakeholders","Alignment, Insights",,,,,,"Ensure balanced participation.

Avoid allowing a small number of people to dominate.

Focus on listening and understanding rather than winning arguments.",,,,,Hybrid,,,,
Democratic Discussion,Discuss,60 mins,Create equal opportunity for participation and decision making.,The team needs broad participation and collective ownership of outcomes.,"Stakeholders, Team context","Alignment, Decision",,,,,,"Protect equal participation.

Watch for dominant personalities.

Encourage quieter participants to contribute.

Focus on shared understanding.",,,,,Yes,,,,
Mad Sad Glad,Discuss,60 mins,"Explore emotional responses to a project, initiative or experience.","The team needs reflection, retrospectives or emotional insight.","Stakeholders, Team context","Alignment, Insights",,,,,,"Create psychological safety.

Encourage honesty.

Focus on understanding experiences rather than defending decisions.

Look for recurring patterns.",,,,,Yes,,,,
Three Little Pigs,Discuss,60 mins,"Assess ideas, processes or initiatives based on confidence and maturity.","The team needs to evaluate whether solutions are fragile, developing or robust.","Ideas, Opportunities, Stakeholders","Decision, Insights",,,,,,"Focus discussion on evidence rather than opinion.

Challenge assumptions.

Use the exercise to identify risk and increase confidence in decision making.",,,,,Yes,,,,
