Step Name,Duration,Facilitator Notes,Instructions,Parent Block,Purpose,Step Order,Technique Used
Refine Opportunity Areas,10,"Focus on opportunity quality rather than quantity.

Avoid moving into solution discussions.

Ensure the opportunities remain connected to the original problem statement.","Review each opportunity cluster.

Discuss overlaps and similarities.

Merge related opportunities where appropriate.

Create a shortlist of the strongest opportunity areas.",How Might We (https://app.notion.com/p/How-Might-We-373eb253b7f6800ab71de85617ce4030?pvs=21),Refine the strongest opportunity areas and remove duplicates or overlapping themes.,4,
Select Opportunity Areas,5,"The objective is prioritisation, not perfection.

If there is no clear winner, facilitate a short discussion and vote again.","Review the shortlisted opportunity areas.

Ask participants to vote independently.

Reveal votes simultaneously.

Select the highest scoring opportunities for future exploration.",How Might We (https://app.notion.com/p/How-Might-We-373eb253b7f6800ab71de85617ce4030?pvs=21),Align on the opportunity areas that should be explored further.,5,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21)
Review Opportunities,5,"Keep discussion focused on understanding.

Do not begin evaluating opportunities yet.","Review the list of opportunities.

Clarify any questions.

Ensure participants understand what each opportunity is before evaluation begins.",Impact Effort Map (https://app.notion.com/p/Impact-Effort-Map-373eb253b7f680129bb0fbbd614dbd2e?pvs=21),"Review the opportunities, ideas or initiatives that will be evaluated during the activity.",1,
Create Impact Effort Matrix,5,"Agree the criteria before evaluating opportunities.

Different interpretations of impact or effort can create unnecessary debate later.","Introduce the Impact Effort matrix.

Explain the two axes:

Impact
Effort

Review the criteria that will be used to assess opportunities.",Impact Effort Map (https://app.notion.com/p/Impact-Effort-Map-373eb253b7f680129bb0fbbd614dbd2e?pvs=21),Establish a shared understanding of the evaluation framework.,2,
Map Opportunities,15,"Focus on relative comparison rather than perfect scoring.

Encourage evidence-based discussion where possible.

Avoid spending too much time on individual opportunities.","Review each opportunity one at a time.

Discuss expected impact.

Discuss expected effort.

Place the opportunity on the matrix.

Repeat until all opportunities have been mapped.",Impact Effort Map (https://app.notion.com/p/Impact-Effort-Map-373eb253b7f680129bb0fbbd614dbd2e?pvs=21),Evaluate and position opportunities based on their expected impact and effort.,3,
Review Opportunity Clusters,5,"Focus on patterns rather than individual opportunities.

Encourage discussion around what the map is telling the team.","Review the completed matrix.

Identify opportunities that naturally group together.

Discuss patterns emerging across the map.

Highlight quick wins, strategic bets and low-value opportunities.",Impact Effort Map (https://app.notion.com/p/Impact-Effort-Map-373eb253b7f680129bb0fbbd614dbd2e?pvs=21),Identify patterns and discuss what the completed matrix is revealing.,4,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21)
Select Priorities,5,"Use voting to reduce bias and avoid dominant voices driving the decision.

Focus on commitment rather than perfection.","Review the opportunities identified as strong candidates.

Ask participants to vote independently.

Reveal votes simultaneously.

Identify the highest-priority opportunities.",Impact Effort Map (https://app.notion.com/p/Impact-Effort-Map-373eb253b7f680129bb0fbbd614dbd2e?pvs=21),Align on which opportunities should move forward.,5,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21)
Confirm Recommendations,10,"Ensure the workshop ends with clear ownership and agreed follow-up actions.

Avoid leaving priorities without accountability.","Review the selected priorities.

Agree actions, owners and timelines.

Capture next steps and confirm accountability.",Impact Effort Map (https://app.notion.com/p/Impact-Effort-Map-373eb253b7f680129bb0fbbd614dbd2e?pvs=21),Agree the final recommendations and capture next steps.,6,"Who, What, When (https://app.notion.com/p/Who-What-When-373eb253b7f68060a116d23c05af6816?pvs=21)"
Review Opportunities,5,"Focus on understanding rather than debating.

Keep the group aligned on what is being prioritised.","Review all opportunities that have been brought into the workshop.

Clarify any questions.

Ensure everyone understands the options before prioritisation begins.",Priority Map (https://app.notion.com/p/Priority-Map-373eb253b7f6802eb4fae1026a89a2c8?pvs=21),"Review the opportunities, ideas or initiatives that need to be prioritised.",1,
Define Prioritisation Criteria,5,"Misaligned criteria create poor prioritisation.

Invest time here to create a shared understanding.","Discuss what makes an opportunity important.

Agree the prioritisation criteria.

Capture the criteria where everyone can see them before continuing.",Priority Map (https://app.notion.com/p/Priority-Map-373eb253b7f6802eb4fae1026a89a2c8?pvs=21),Agree the criteria that will be used to evaluate and prioritise opportunities.,2,
Map Priorities,15,"Encourage evidence-based discussion.

Focus on relative comparison rather than absolute scoring.

Avoid spending too much time debating a single opportunity.",Evaluate opportunities against the agreed criteria and identify relative priorities.,Priority Map (https://app.notion.com/p/Priority-Map-373eb253b7f6802eb4fae1026a89a2c8?pvs=21),Evaluate opportunities against the agreed criteria and identify relative priorities.,3,
Review Priority Groups,5,"Look for clusters and themes rather than focusing on individual items.

Encourage the team to discuss what the prioritisation is revealing.","Review the prioritised opportunities.

Group similar priorities together where appropriate.

Discuss patterns, dependencies and strategic themes.

Identify which opportunities appear most important.",Priority Map (https://app.notion.com/p/Priority-Map-373eb253b7f6802eb4fae1026a89a2c8?pvs=21),Review the emerging priority groups and identify patterns in the prioritisation.,4,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21)
Select Priorities,5,"Use voting to reduce bias and create transparency.

Focus on reaching alignment rather than achieving a perfect ranking.","Review the prioritised opportunities.

Ask participants to vote independently.

Reveal votes simultaneously.

Select the highest-priority opportunities.",Priority Map (https://app.notion.com/p/Priority-Map-373eb253b7f6802eb4fae1026a89a2c8?pvs=21),Align on the opportunities that should move forward.,5,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21)
Commit Actions,10,"Do not end the activity without clear ownership.

Ensure actions are assigned to individuals and have realistic deadlines.","Review the selected priorities.

Agree actions, owners and timelines.

Capture next steps and confirm accountability.",Priority Map (https://app.notion.com/p/Priority-Map-373eb253b7f6802eb4fae1026a89a2c8?pvs=21),"Capture actions, ownership and next steps for the selected priorities.",6,"Who, What, When (https://app.notion.com/p/Who-What-When-373eb253b7f68060a116d23c05af6816?pvs=21)"
Review Context,10,"Keep the discussion focused on the agreed topic.

Avoid moving into solutions at this stage.","Introduce the focus area being reviewed.

Explain the purpose of the activity.

Review any relevant context, evidence or observations.

Ensure everyone understands the scope before beginning.",Start Stop Continue (https://app.notion.com/p/Start-Stop-Continue-373eb253b7f680b08fb3da2d5df49b4e?pvs=21),"Create a shared understanding of the topic, process or team behaviour being reviewed.",1,
Capture Start Stop Continue Items,15,"Encourage participants to think independently before discussing ideas.

Focus on behaviours, processes and ways of working.","Ask participants to individually generate items for:

Start
Stop
Continue

Capture all contributions before discussion begins.",Start Stop Continue (https://app.notion.com/p/Start-Stop-Continue-373eb253b7f680b08fb3da2d5df49b4e?pvs=21),"Generate ideas for what should start, stop and continue.",2,
Theme Sort Responses,15,"Look for repeated issues and opportunities.

Avoid debating individual contributions.","Group similar responses together.

Identify recurring themes.

Label clusters and discuss common patterns.",Start Stop Continue (https://app.notion.com/p/Start-Stop-Continue-373eb253b7f680b08fb3da2d5df49b4e?pvs=21),Identify common themes and patterns across participant responses.,3,Theme Sort (https://app.notion.com/p/Theme-Sort-373eb253b7f680a79694c82252566fab?pvs=21)
Review & Refine Themes,10,"Focus on clarity and actionability.

Avoid introducing new ideas at this stage.","Review each theme.

Discuss overlaps and clarify wording.

Consolidate themes where appropriate.

Prepare a shortlist for prioritisation.",Start Stop Continue (https://app.notion.com/p/Start-Stop-Continue-373eb253b7f680b08fb3da2d5df49b4e?pvs=21),Refine the themes and identify the most important areas for action.,4,
Select Priorities,5,"Keep voting focused on impact and importance.

Use a second round if results are unclear.","Review the shortlisted themes.

Ask participants to vote independently.

Reveal votes simultaneously.

Identify the themes that should move forward.",Start Stop Continue (https://app.notion.com/p/Start-Stop-Continue-373eb253b7f680b08fb3da2d5df49b4e?pvs=21),Align on the most important themes that should be acted upon.,5,Blind Vote (https://app.notion.com/p/Blind-Vote-373eb253b7f680fdb80effd9c0fd2384?pvs=21)
Commit Actions,10,"Do not finish the activity without clear ownership.

Focus on realistic actions that can be followed through.","Review the selected themes.

Agree actions, owners and timelines.

Capture next steps and confirm accountability.",Start Stop Continue (https://app.notion.com/p/Start-Stop-Continue-373eb253b7f680b08fb3da2d5df49b4e?pvs=21),Turn the selected themes into actions with ownership and accountability.,6,"Who, What, When (https://app.notion.com/p/Who-What-When-373eb253b7f68060a116d23c05af6816?pvs=21)"
