Activity Name,Stage,Duration,Purpose,Best Used When,Inputs Required,Outputs Produced,Layout Type,Instructions,Facilitator Notes,Remote Friendly
G.R.O.W,Goals,60 mins,"Help individuals or teams define goals, understand reality, explore options and agree actions.","The team needs clarity on direction, objectives or next steps.","Business goal, Team context","Action plan, Shared goal",Rows,"1. Define the Goal the team wants to achieve.

2. Explore the current Reality of the situation.

3. Generate Options for moving forward.

4. Discuss the pros and cons of each option.

5. Agree on the Way Forward.

6. Capture actions, owners and timelines.","Keep the conversation grounded in reality.

Avoid jumping straight to solutions.

Spend sufficient time exploring the current situation before discussing options.

Ensure the session ends with clear commitments and actions.",Yes
Sailboat,Goals,60 mins,"Explore goals, risks, blockers and opportunities using a visual metaphor.",The team needs alignment around goals and obstacles.,"Business goal, Team context","Alignment, Risks, Shared goal",Canvas,"1. Draw a sailboat heading towards an island.

2. Define the destination or goal.

3. Identify what is helping move the team forward.

4. Identify anchors slowing progress.

5. Identify risks or obstacles ahead.

6. Discuss actions to reduce anchors and increase momentum.","Use the visual metaphor to encourage participation.

Ensure both positive and negative factors are explored.

Focus on practical actions that can be taken after the workshop.",Yes
Newspaper Headline,Goals,60 mins,Define future success by imagining a positive headline about the outcome.,The team needs a shared vision of success.,Business goal,"Alignment, Shared goal",Canvas,"1. Ask participants to imagine a future newspaper article celebrating success.

2. Individually create headlines.

3. Share and discuss headlines.

4. Identify common themes.

5. Create a combined vision statement.

6. Capture the measures of success required to achieve it.","Encourage ambitious thinking.

Avoid discussing constraints too early.

Use the headlines to create a shared picture of success.",Yes
Sticky Steps,Goals,30 mins,Break a goal into small achievable steps.,The team knows the goal but needs a practical path forward.,Business goal,Action plan,Timeline,"1. Define the goal or outcome.

2. Individually generate the steps required to achieve it.

3. Place each step on a sticky note.

4. Arrange steps into a logical sequence.

5. Identify dependencies and risks.

6. Agree on immediate next actions.","Encourage participants to think in small achievable steps.

Challenge large vague actions.

Focus on creating momentum and clarity.",Yes
Empathy Map,Understand,60 mins,"Explore what users think, feel, see and do.",The team needs deeper understanding of users.,"Existing research, User feedback",Insights,Canvas,"1. Define the user or audience being explored.

2. Create sections for Thinks, Feels, Says and Does.

3. Capture observations individually.

4. Share and discuss findings.

5. Identify patterns and insights.

6. Summarise key user needs and frustrations.","Encourage participants to use evidence rather than assumptions.

Keep the discussion focused on the user rather than business needs.

Challenge unsupported statements.",Yes
Assumption Collecting,Understand,60 mins,Identify assumptions influencing decisions.,The team suspects decisions are being driven by opinion rather than evidence.,Team context,"Insights, Risks",Columns,"1. Present the challenge being explored.

2. Ask participants to write down assumptions.

3. Share assumptions with the group.

4. Cluster similar assumptions together.

5. Discuss which assumptions are most critical.

6. Identify assumptions that require validation.","Create a safe environment for participants to challenge existing thinking.

Distinguish assumptions from facts.

Prioritise assumptions that carry the greatest risk.",Yes
Service Map,Understand,90 mins,"Visualise people, systems and processes involved in delivering a service.",The team needs to understand operational complexity.,"Existing research, Stakeholders","Alignment, Insights",Map,"1. Define the service being explored.

2. Identify the key stages of the experience.

3. Map customer actions.

4. Map supporting processes and systems.

5. Identify dependencies and pain points.

6. Discuss opportunities for improvement.","Keep participants focused on the whole service rather than isolated touchpoints.

Look for bottlenecks, handoffs and operational complexity.

Encourage contributions from multiple disciplines.",Yes
Roles & Responsibilities,Understand,60 mins,Clarify ownership and responsibilities across teams.,Ownership or accountability is unclear.,"Stakeholders, Team context","Alignment, Decision",Matrix,"1. List all key roles involved.

2. Capture current responsibilities.

3. Identify overlaps and gaps.

4. Discuss areas of confusion.

5. Agree ownership for critical activities.

6. Document decisions and actions.","Keep the discussion objective and focused on clarity.

Avoid turning the session into a performance review.

Focus on improving collaboration and accountability.",Yes
Prototype Persona,Understand,60 mins,Create provisional user personas from existing knowledge.,Research is limited but the team needs a shared understanding of users.,"Existing research, User feedback",Insights,Canvas,"1. Define the audience being explored.

2. Capture known characteristics.

3. Discuss goals, needs and behaviours.

4. Identify frustrations and motivations.

5. Create a shared persona profile.

6. Highlight assumptions that need validation.","Make it clear that the persona is a working hypothesis.

Avoid creating overly detailed fictional profiles.

Focus on creating shared understanding rather than perfection.",Yes
Mind Map,Ideas,30 mins,Generate ideas through associative thinking.,The team needs a broad range of possibilities.,Problem statement,Ideas,Map,"1. Write the challenge in the centre of the canvas.

2. Individually generate related ideas, themes or opportunities.

3. Add branches from the central challenge.

4. Continue expanding branches with supporting ideas.

5. Review and discuss emerging themes.

6. Identify areas worth exploring further.","Encourage quantity over quality initially.

Avoid judging ideas during generation.

Look for clusters and connections that may not be obvious.

Use the final discussion to identify promising areas for further exploration.",Yes
Storyboard,Ideas,90 mins,"Visualise future experiences, concepts or service journeys.",The team wants to explore and communicate end-to-end solution ideas.,"Ideas, Problem statement, User feedback",Ideas,Timeline,"1. Define the scenario being explored.

2. Break the experience into key stages.

3. Sketch or describe what happens at each stage.

4. Focus on user actions, thoughts and outcomes.

5. Discuss gaps, opportunities and assumptions.

6. Capture insights for further development.","Keep participants focused on the experience rather than detailed UI solutions.

Encourage discussion around assumptions and risks.

Use the storyboard as a conversation tool rather than an artefact to perfect.",Yes
Round Robin,Ideas,30 mins,Generate ideas collaboratively while ensuring equal participation.,You want contributions from every participant and need to avoid dominant voices.,"Problem statement, Team context",Ideas,Rows,"1. Present the challenge.

2. Give participants time to generate an idea.

3. Each participant shares one idea in turn.

4. Continue until all ideas have been shared.

5. Capture every idea visibly.

6. Discuss themes and opportunities.","Ensure equal participation.

Prevent dominant voices from taking over.

Keep the pace moving.

Focus on idea generation rather than evaluation.",Yes
Reverse Brainstorm,Ideas,60 mins,Generate solutions by exploring how to make the problem worse first.,"The team feels stuck, is suffering from groupthink, or keeps generating similar ideas.","Problem statement, Team context",Ideas,Canvas,"1. Define the challenge.

2. Ask participants how they would make the problem worse.

3. Generate as many negative ideas as possible.

4. Review and cluster responses.

5. Reverse each negative idea into a potential solution.

6. Discuss which solutions are worth exploring.","This works best when teams are stuck or repeating the same ideas.

Encourage humour and exaggeration.

The value comes from reversing the negative ideas.",Yes
Premortem,Evaluate,60 mins,Identify potential risks before implementation begins.,The team wants to reduce risk and improve decision quality.,"Ideas, Opportunities, Stakeholders","Decision, Risks",Canvas,"1. Imagine the initiative has failed completely.

2. Ask participants why it failed.

3. Capture every possible reason.

4. Group similar risks together.

5. Discuss likelihood and impact.

6. Identify mitigation actions.","Create psychological safety.

Encourage participants to surface uncomfortable truths.

Avoid turning the session into a solution workshop too early.",Yes
SWOT Analysis,Evaluate,90 mins,"Assess strengths, weaknesses, opportunities and threats.","The team needs structured evaluation of a challenge, opportunity or strategy.","Ideas, Problem statement, Stakeholders","Decision, Insights",Matrix,"1. Create four sections: Strengths, Weaknesses, Opportunities and Threats.

2. Generate ideas individually.

3. Add ideas to the relevant section.

4. Discuss and refine contributions.

5. Identify key themes.

6. Agree on implications and next steps.","Keep discussions balanced across all four areas.

Avoid spending too much time debating individual items.

Focus on identifying patterns and strategic implications.",Yes
"Rose, Thorn, Bud",Evaluate,30 mins,"Identify positives, challenges and opportunities within a situation.","The team wants a balanced evaluation of a project, feature, process or experience.","Existing research, Ideas, User feedback","Ideas, Insights",Columns,"1. Create three columns: Rose, Thorn and Bud.

2. Ask participants to identify positive elements.

3. Capture challenges and pain points.

4. Identify emerging opportunities.

5. Discuss patterns and themes.

6. Agree on actions or areas for further exploration.","Encourage balanced thinking.

Prevent the conversation from becoming overly negative.

Use the opportunity section to identify future actions.",Yes
"Heart, Head, Hand",Evaluate,30 mins,"Evaluate ideas from emotional, logical and practical perspectives.",The team wants balanced decision making and needs to consider multiple viewpoints.,"Ideas, Opportunities","Decision, Insights",Columns,"1. Create three areas: Heart, Head and Hand.

2. Discuss emotional reactions in Heart.

3. Discuss logical considerations in Head.

4. Discuss practical implementation in Hand.

5. Compare findings across all three perspectives.

6. Identify the strongest options.","Encourage participants to contribute to all three areas.

Watch for teams focusing too heavily on logic and ignoring emotional or practical factors.

Use the discussion to reveal hidden trade-offs.",Yes
Start Stop Continue,Decide,60 mins,"Create alignment by identifying behaviours, activities or processes the team should start, stop or continue.","The team needs alignment, reflection or agreement on future ways of working.","Stakeholders, Team context","Action plan, Alignment",Columns,"1. Create three columns: Start, Stop and Continue.

2. Ask participants to generate ideas individually.

3. Add contributions to the relevant column.

4. Discuss themes and patterns.

5. Consolidate similar ideas.

6. Agree actions and owners.","Keep the discussion constructive.

Avoid personal criticism.

Focus on behaviours, processes and ways of working rather than individuals.

Push for actionable outcomes.",Yes
Fishbowl,Discuss,60 mins,Enable structured discussion around difficult topics while ensuring all perspectives are heard.,The group has differing viewpoints or sensitive topics need discussion.,"Problem statement, Stakeholders","Alignment, Insights",Discussion,"1. Select a small group to begin the discussion.

2. Remaining participants observe and listen.

3. Participants rotate into the discussion as needed.

4. Capture key insights and themes.

5. Discuss areas of agreement and disagreement.

6. Summarise findings.","Ensure balanced participation.

Avoid allowing a small number of people to dominate.

Focus on listening and understanding rather than winning arguments.",Hybrid
Democratic Discussion,Discuss,60 mins,Create equal opportunity for participation and decision making.,The team needs broad participation and collective ownership of outcomes.,"Stakeholders, Team context","Alignment, Decision",Discussion,"1. Present the topic for discussion.

2. Give everyone time to prepare thoughts.

3. Allow participants to contribute in turn.

4. Capture viewpoints visibly.

5. Discuss themes and disagreements.

6. Agree decisions or actions.","Protect equal participation.

Watch for dominant personalities.

Encourage quieter participants to contribute.

Focus on shared understanding.",Yes
Mad Sad Glad,Discuss,60 mins,"Explore emotional responses to a project, initiative or experience.","The team needs reflection, retrospectives or emotional insight.","Stakeholders, Team context","Alignment, Insights",Columns,"1. Create three columns: Mad, Sad and Glad.

2. Ask participants to reflect individually.

3. Capture responses in the relevant column.

4. Discuss recurring themes.

5. Identify opportunities for improvement.

6. Agree actions where appropriate.","Create psychological safety.

Encourage honesty.

Focus on understanding experiences rather than defending decisions.

Look for recurring patterns.",Yes
Three Little Pigs,Discuss,60 mins,"Assess ideas, processes or initiatives based on confidence and maturity.","The team needs to evaluate whether solutions are fragile, developing or robust.","Ideas, Opportunities, Stakeholders","Decision, Insights",Columns,"1. Create three categories: Straw House, Stick House and Brick House.

2. Review ideas, plans or processes.

3. Place each item into the appropriate category.

4. Discuss reasons for placement.

5. Identify improvements required to strengthen weaker items.

6. Agree priorities and actions.","Focus discussion on evidence rather than opinion.

Challenge assumptions.

Use the exercise to identify risk and increase confidence in decision making.",Yes
